image_uid,image_path,style,style_abbrev,metric,dc,dw
data/compromise_building/apartment/town/1001|1001,data/compromise_building/apartment/town/1001.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-B,0.036886949293433,0.3093308395677473
data/compromise_building/apartment/town/1001|1001,data/compromise_building/apartment/town/1001.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-M,0.2750415627597673,0.0449916874480465
data/compromise_building/apartment/town/1001|1001,data/compromise_building/apartment/town/1001.JPG,Chinese_Art_Deco,Ch-AD,Per_LPIPS-O,0.1434954280964256,0.8413341645885287
data/compromise_building/apartment/town/1001|1001,data/compromise_building/apartment/town/1001.JPG,Chinese_Art_Deco,Ch-AD,Sem_CLIP-S,0.1482751454696592,0.8517248545303409
data/compromise_building/apartment/town/1001|1001,data/compromise_building/apartment/town/1001.JPG,Chinese_Art_Deco,Ch-AD,Str_EH-D,0.4994804655029094,0.7640274314214464
data/compromise_building/apartment/town/1001|1001,data/compromise_building/apartment/town/1001.JPG,Chinese_Art_Deco,Ch-AD,Str_SSIM-D,0.1906691604322527,0.281691604322527
data/compromise_building/apartment/town/1001|1001,data/compromise_building/apartment/town/1001.JPG,Chinese_Art_Deco,Ch-AD,Tex_GLCM-C,0.0742934330839567,0.9257065669160432
data/compromise_building/apartment/town/1001|1001,data/compromise_building/apartment/town/1001.JPG,Chinese_Art_Deco,Ch-AD,Tex_Gram-D,0.3034081463009144,0.7616375727348296
data/compromise_building/apartment/town/1002|1002,data/compromise_building/apartment/town/1002.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-B,0.6017248545303409,0.910120532003325
data/compromise_building/apartment/town/1002|1002,data/compromise_building/apartment/town/1002.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-M,0.8355153782211139,0.1983582709891937
data/compromise_building/apartment/town/1002|1002,data/compromise_building/apartment/town/1002.JPG,Chinese_Art_Deco,Ch-AD,Per_LPIPS-O,0.0784497090606816,0.2197630922693267
data/compromise_building/apartment/town/1002|1002,data/compromise_building/apartment/town/1002.JPG,Chinese_Art_Deco,Ch-AD,Sem_CLIP-S,0.2175810473815461,0.7824189526184538
data/compromise_building/apartment/town/1002|1002,data/compromise_building/apartment/town/1002.JPG,Chinese_Art_Deco,Ch-AD,Str_EH-D,0.0281587697423108,0.0657730673316708
data/compromise_building/apartment/town/1002|1002,data/compromise_building/apartment/town/1002.JPG,Chinese_Art_Deco,Ch-AD,Str_SSIM-D,0.4969866999168745,0.6437032418952618
data/compromise_building/apartment/town/1002|1002,data/compromise_building/apartment/town/1002.JPG,Chinese_Art_Deco,Ch-AD,Tex_GLCM-C,0.4367206982543641,0.5632793017456359
data/compromise_building/apartment/town/1002|1002,data/compromise_building/apartment/town/1002.JPG,Chinese_Art_Deco,Ch-AD,Tex_Gram-D,0.9961554447215296,0.0532003325020781
data/compromise_building/apartment/town/1003|1003,data/compromise_building/apartment/town/1003.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-B,0.5996467165419784,0.8388403990024937
data/compromise_building/apartment/town/1003|1003,data/compromise_building/apartment/town/1003.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-M,0.6811097256857855,0.1792394014962594
data/compromise_building/apartment/town/1003|1003,data/compromise_building/apartment/town/1003.JPG,Chinese_Art_Deco,Ch-AD,Per_LPIPS-O,0.1123233582709892,0.4464879467996675
data/compromise_building/apartment/town/1003|1003,data/compromise_building/apartment/town/1003.JPG,Chinese_Art_Deco,Ch-AD,Sem_CLIP-S,0.4980257689110557,0.5019742310889443
data/compromise_building/apartment/town/1003|1003,data/compromise_building/apartment/town/1003.JPG,Chinese_Art_Deco,Ch-AD,Str_EH-D,0.5917497921862012,0.1620947630922693
data/compromise_building/apartment/town/1003|1003,data/compromise_building/apartment/town/1003.JPG,Chinese_Art_Deco,Ch-AD,Str_SSIM-D,0.8575436408977556,0.9618661679135496
data/compromise_building/apartment/town/1003|1003,data/compromise_building/apartment/town/1003.JPG,Chinese_Art_Deco,Ch-AD,Tex_GLCM-C,0.9665419783873648,0.0317955112219451
