metric,dimension,w_subj,w_obj,w_fuse
Sem_CLIP-S,Semantic,0.3378219885801402,0.0893340144070091,0.236747583185953
Per_LPIPS-O,Perceptual,0.2014331911350536,0.1187472877085576,0.1661267313399393
Str_SSIM-D,Structure,0.1031870871000659,0.1659775671149114,0.1252270243163612
Str_EH-D,Structure,0.1031870871000659,0.1564987064308061,0.1215263877444801
Col_HSV-M,Colour,0.0981635924477685,0.1529476940455056,0.1172519058397705
Col_HSV-B,Colour,0.0981635924477685,0.1423699622838418,0.1131203675734957
Tex_Gram-D,Texture,0.0290217305945686,0.0878502794348812,0.0603619873126002
Tex_GLCM-C,Texture,0.0290217305945686,0.086274488574487,0.0596380126873997
