dimension,rho_img,rho_style,pass_direction,orientation,auc,cliffs_delta,p_mw,pass_known_groups,median_rel_IQR,p80_rel_IQR,status_stability,pass_stability,pass_all
Colour,0.9941845383173512,0.8999999999999998,True,1,1.0,1.0,4.3509617743975937e-159,True,0.1895061376304198,0.4185157111846014,pass,True,True
Texture,0.5139162057445418,1.0,True,1,0.9199393949828688,0.8398787899657376,8.279067503097099e-113,True,0.2312990934860012,0.3798173677369364,pass,True,True
Structure,0.9709380756965972,0.8999999999999998,True,1,1.0,1.0,4.3509617743975937e-159,True,0.2646918851504293,0.3170203924294414,borderline,True,True
Semantic,-0.9999287114933324,-1.0,True,-1,1.0,1.0,7.900990927121914e-170,True,0.2334115303054311,0.3449267968646046,pass,True,True
Perceptual,0.9966391271006813,1.0,True,1,1.0,1.0,4.3509617743975937e-159,True,0.1819693856927806,0.3679593697881719,pass,True,True
