metric,n,p_closer_CN,mean_dc,mean_dw,mean_dw_minus_dc
Col_HSV-B,2406,0.8532834580216127,0.3901765398086938,0.6098234601913062,0.21964692038261235
Col_HSV-M,2406,0.19035743973399832,0.6020130817318025,0.3979869182681976,-0.20402616346360486
Per_LPIPS-O,2406,0.8586866167913549,0.3536771468391918,0.6463228531608081,0.29264570632161624
Sem_CLIP-S,2406,1.0,0.25,0.75,0.5
Str_EH-D,2406,0.5178719866999169,0.4911444200526669,0.5088555799473331,0.017711159894666206
Str_SSIM-D,2406,0.9975062344139651,0.4350666524323715,0.5649333475676285,0.12986669513525695
Tex_GLCM-C,2406,0.7169576059850374,0.3779733525012628,0.6220266474987373,0.24405329499747447
Tex_Gram-D,2406,0.42144638403990026,0.5243504048136793,0.4756495951863207,-0.04870080962735862
