image_uid,dimension,DimFS_calc,DimFS,abs_diff
data/compromise_building/apartment/town/1000|1000,Colour,0.5258745730827368,0.5250030686800012,0.0008715044027355345
data/compromise_building/apartment/town/1000|1000,Perceptual,0.4072113709876967,0.406150036,0.001061334987696727
data/compromise_building/apartment/town/1000|1000,Semantic,0.49861035970971224,0.497830651,0.0007797087097122235
data/compromise_building/apartment/town/1000|1000,Structure,0.5963106060775275,0.5946469799984015,0.0016636260791259572
data/compromise_building/apartment/town/1000|1000,Texture,0.37679103707685974,0.3726838296959543,0.00410720738090542
data/compromise_building/apartment/town/1001|1001,Colour,0.8292463778966122,0.8289070616100574,0.0003393162865547028
data/compromise_building/apartment/town/1001|1001,Perceptual,0.44525461659628984,0.444092657,0.001161959596289841
data/compromise_building/apartment/town/1001|1001,Semantic,0.4351329847997426,0.433977718,0.0011552667997425936
data/compromise_building/apartment/town/1001|1001,Structure,0.5632459368101997,0.5613499862280685,0.0018959505821312117
data/compromise_building/apartment/town/1001|1001,Texture,0.4172514122419098,0.4141438922787708,0.003107519963139016
data/compromise_building/apartment/town/1002|1002,Colour,0.32622156693755,0.3246347620623935,0.0015868048751565
data/compromise_building/apartment/town/1002|1002,Perceptual,0.8495712363859366,0.84932716,0.00024407638593659797
data/compromise_building/apartment/town/1002|1002,Semantic,0.4607420081682785,0.459760886,0.0009811221682785032
data/compromise_building/apartment/town/1002|1002,Structure,0.6859382079441881,0.6853467923227087,0.000591415621479463
data/compromise_building/apartment/town/1002|1002,Texture,0.3947644865144768,0.3816787218497451,0.013085764664731714
data/compromise_building/apartment/town/1003|1003,Colour,0.4086557238396322,0.407387255360577,0.001268468479055207
data/compromise_building/apartment/town/1003|1003,Perceptual,0.7117594711035077,0.711276321,0.00048315010350763465
data/compromise_building/apartment/town/1003|1003,Semantic,0.4999982460785127,0.499225016,0.0007732300785126545
data/compromise_building/apartment/town/1003|1003,Structure,0.3404473221339251,0.3385478625856777,0.0018994595482473842
data/compromise_building/apartment/town/1003|1003,Texture,0.3591188088682493,0.3538364054771825,0.005282403391066837
data/compromise_building/apartment/town/1004|1004,Colour,0.38144487243463654,0.3801549714590647,0.001289900975571856
data/compromise_building/apartment/town/1004|1004,Perceptual,0.5765633944277307,0.575778608,0.0007847864277307215
data/compromise_building/apartment/town/1004|1004,Semantic,0.3743243624848283,0.372474782,0.001849580484828306
data/compromise_building/apartment/town/1004|1004,Structure,0.32519015249147315,0.3225954066175863,0.002594745873886861
data/compromise_building/apartment/town/1004|1004,Texture,0.49356145888006947,0.4915905810937125,0.0019708777863569615
data/compromise_building/apartment/town/1005|1005,Colour,0.2700399996599404,0.2686479484868034,0.00139205117313701
data/compromise_building/apartment/town/1005|1005,Perceptual,0.5789329061722082,0.578255764,0.0006771421722081561
data/compromise_building/apartment/town/1005|1005,Semantic,0.4370390772788447,0.435898231,0.0011408462788446982
data/compromise_building/apartment/town/1005|1005,Structure,0.36557003138768457,0.3635748290980126,0.0019952022896719823
data/compromise_building/apartment/town/1005|1005,Texture,0.41912271527671296,0.4162730465311618,0.0028496687455511482
data/compromise_building/apartment/town/1006|1006,Colour,0.5345499554735541,0.533691138501332,0.0008588169722221206
data/compromise_building/apartment/town/1006|1006,Perceptual,0.7773947515106869,0.777030285,0.0003644665106868894
data/compromise_building/apartment/town/1006|1006,Semantic,0.45440074030310695,0.453380057,0.0010206833031069507
data/compromise_building/apartment/town/1006|1006,Structure,0.46808305536933664,0.466762717413255,0.001320337956081663
data/compromise_building/apartment/town/1006|1006,Texture,0.4511135740178662,0.4487802453586374,0.002333328659228806
data/compromise_building/apartment/town/1007|1007,Colour,0.3840143438568953,0.3826095985664982,0.0014047452903971358
data/compromise_building/apartment/town/1007|1007,Perceptual,0.4750171088345073,0.474078816,0.0009382928345073038
data/compromise_building/apartment/town/1007|1007,Semantic,0.40799454591617257,0.40659819,0.0013963559161725425
data/compromise_building/apartment/town/1007|1007,Structure,0.6138762597753138,0.6128618739726232,0.0010143858026906427
data/compromise_building/apartment/town/1007|1007,Texture,0.4366250400151275,0.4342006368603589,0.0024244031547685507
data/compromise_building/apartment/town/1008|1008,Colour,0.25664133595639455,0.2550307406100244,0.0016105953463701472
data/compromise_building/apartment/town/1008|1008,Perceptual,0.46061713422200123,0.459605582,0.0010115522220012219
data/compromise_building/apartment/town/1008|1008,Semantic,0.3878352612426441,0.386197025,0.0016382362426440866
data/compromise_building/apartment/town/1008|1008,Structure,0.6718225394239545,0.6710141321404316,0.0008084072835229383
data/compromise_building/apartment/town/1008|1008,Texture,0.5601142395292757,0.5584142305873225,0.0017000089419532127
data/compromise_building/apartment/town/1009|1009,Colour,0.7070960574172132,0.7065222647453682,0.000573792671844986
data/compromise_building/apartment/town/1009|1009,Perceptual,0.7539998858876736,0.753585157,0.00041472888767368765
data/compromise_building/apartment/town/1009|1009,Semantic,0.38204313614589214,0.380320373,0.0017227631458921477
data/compromise_building/apartment/town/1009|1009,Structure,0.3662229617059545,0.3641768681076482,0.0020460935983062645
data/compromise_building/apartment/town/1009|1009,Texture,0.47771702891035606,0.4756398684994581,0.002077160410897949
data/compromise_building/apartment/town/100|100,Colour,0.41636886480778357,0.4152966150928882,0.0010722497148953902
data/compromise_building/apartment/town/100|100,Perceptual,0.448737327722382,0.447795975,0.000941352722381994
data/compromise_building/apartment/town/100|100,Semantic,0.491909461109763,0.491097704,0.0008117571097630005
data/compromise_building/apartment/town/100|100,Structure,0.6003316993688323,0.5988761686754893,0.0014555306933430323
