dimension,n,mean_DimFS,median_DimFS,q25_DimFS,q75_DimFS
Colour,2406,0.4847248369845505,0.4850509523897373,0.3321230365993839,0.6319378929268338
Perceptual,2406,0.47625033407522865,0.46943625450000004,0.31346850699999995,0.641428162
Semantic,2406,0.45085491001620953,0.468232666,0.424461871,0.491904032
Structure,2406,0.4884059363081048,0.4949857863486587,0.3849236271045612,0.6008105258823895
Texture,2406,0.4503103215120138,0.4490396955666071,0.4200639481426387,0.4745537898199854
