dimension,n,p_closer_CN,mean_dc,mean_dw,mean_dw_minus_dc
Colour,2406,0.5218204488778054,0.4960948107702481,0.5039051892297519,0.007810378459503831
Perceptual,2406,0.8586866167913549,0.3536771468391918,0.6463228531608081,0.29264570632161624
Semantic,2406,1.0,0.25,0.75,0.5
Structure,2406,0.757689110556941,0.4631055362425192,0.5368944637574807,0.07378892751496152
Texture,2406,0.5692019950124688,0.45116187865747104,0.548838121342529,0.09767624268505792
