style_abbrev,n,mean_MFS,median_MFS
Ch-AD,1477,0.49641173678777417,0.49749533722588474
Ch-GOTH,93,0.476283906454354,0.479592408446421
Ch-BYZ,115,0.47367481125249083,0.46792003521640424
Ch-BAR,283,0.4416299038540222,0.44479874720651386
Ch-NEO,438,0.41688821345763866,0.4141201559241947
